,business_id,year,month,dayofmonth,rating,count
0,2weQS-RnoOBhb1KsHKyoSQ,2011,5,7,1,5
1,2weQS-RnoOBhb1KsHKyoSQ,2012,5,23,2,4
2,2weQS-RnoOBhb1KsHKyoSQ,2007,5,10,1,4
3,2weQS-RnoOBhb1KsHKyoSQ,2011,4,22,3,3.666666667
4,2weQS-RnoOBhb1KsHKyoSQ,2011,11,20,1,3
5,2weQS-RnoOBhb1KsHKyoSQ,2009,6,30,2,3
6,2weQS-RnoOBhb1KsHKyoSQ,2010,6,15,2,4
7,2weQS-RnoOBhb1KsHKyoSQ,2015,6,5,1,1
8,2weQS-RnoOBhb1KsHKyoSQ,2011,8,22,3,3.666666667
9,2weQS-RnoOBhb1KsHKyoSQ,2013,3,10,1,3
10,2weQS-RnoOBhb1KsHKyoSQ,2009,12,10,1,4
11,2weQS-RnoOBhb1KsHKyoSQ,2016,8,31,2,2.5
12,2weQS-RnoOBhb1KsHKyoSQ,2011,5,15,1,4
13,2weQS-RnoOBhb1KsHKyoSQ,2013,3,19,1,5
14,2weQS-RnoOBhb1KsHKyoSQ,2014,8,18,2,4
15,2weQS-RnoOBhb1KsHKyoSQ,2016,5,20,2,4
16,2weQS-RnoOBhb1KsHKyoSQ,2010,5,2,2,4
17,2weQS-RnoOBhb1KsHKyoSQ,2009,9,10,1,5
18,2weQS-RnoOBhb1KsHKyoSQ,2009,2,26,2,4.5
19,2weQS-RnoOBhb1KsHKyoSQ,2015,2,10,1,4
20,2weQS-RnoOBhb1KsHKyoSQ,2012,7,10,3,4
21,2weQS-RnoOBhb1KsHKyoSQ,2014,6,2,2,3.5
22,2weQS-RnoOBhb1KsHKyoSQ,2012,1,13,1,5
23,2weQS-RnoOBhb1KsHKyoSQ,2012,8,13,2,2
24,2weQS-RnoOBhb1KsHKyoSQ,2016,8,1,1,3
25,2weQS-RnoOBhb1KsHKyoSQ,2007,1,6,1,4
26,2weQS-RnoOBhb1KsHKyoSQ,2016,6,27,2,4
27,2weQS-RnoOBhb1KsHKyoSQ,2016,7,2,1,3
28,2weQS-RnoOBhb1KsHKyoSQ,2015,6,20,2,1
29,2weQS-RnoOBhb1KsHKyoSQ,2012,7,6,1,4
30,2weQS-RnoOBhb1KsHKyoSQ,2008,2,19,1,1
31,2weQS-RnoOBhb1KsHKyoSQ,2013,12,31,2,2.5
32,2weQS-RnoOBhb1KsHKyoSQ,2010,5,8,1,4
33,2weQS-RnoOBhb1KsHKyoSQ,2008,8,17,1,2
34,2weQS-RnoOBhb1KsHKyoSQ,2013,11,10,1,4
35,2weQS-RnoOBhb1KsHKyoSQ,2010,3,11,2,5
36,2weQS-RnoOBhb1KsHKyoSQ,2015,10,19,1,3
37,2weQS-RnoOBhb1KsHKyoSQ,2012,3,22,1,4
38,2weQS-RnoOBhb1KsHKyoSQ,2012,5,5,1,1
39,2weQS-RnoOBhb1KsHKyoSQ,2011,11,9,1,5
40,2weQS-RnoOBhb1KsHKyoSQ,2010,6,21,3,4.333333333
41,2weQS-RnoOBhb1KsHKyoSQ,2011,10,23,1,2
42,2weQS-RnoOBhb1KsHKyoSQ,2015,6,6,2,4
43,2weQS-RnoOBhb1KsHKyoSQ,2008,4,3,1,4
44,2weQS-RnoOBhb1KsHKyoSQ,2010,1,3,3,2.666666667
45,2weQS-RnoOBhb1KsHKyoSQ,2016,1,4,5,3.4
46,2weQS-RnoOBhb1KsHKyoSQ,2009,10,30,1,3
47,2weQS-RnoOBhb1KsHKyoSQ,2012,8,3,3,4
48,2weQS-RnoOBhb1KsHKyoSQ,2010,6,8,1,3
49,2weQS-RnoOBhb1KsHKyoSQ,2011,5,4,2,4
50,2weQS-RnoOBhb1KsHKyoSQ,2011,9,28,1,5
51,2weQS-RnoOBhb1KsHKyoSQ,2012,8,24,2,4.5
52,2weQS-RnoOBhb1KsHKyoSQ,2016,11,15,2,5
53,2weQS-RnoOBhb1KsHKyoSQ,2013,9,5,2,2.5
54,2weQS-RnoOBhb1KsHKyoSQ,2012,1,11,1,5
55,2weQS-RnoOBhb1KsHKyoSQ,2008,11,24,1,5
56,2weQS-RnoOBhb1KsHKyoSQ,2011,6,12,3,4
57,2weQS-RnoOBhb1KsHKyoSQ,2014,7,13,2,4.5
58,2weQS-RnoOBhb1KsHKyoSQ,2010,3,31,3,4.333333333
59,2weQS-RnoOBhb1KsHKyoSQ,2013,12,28,5,3.2
60,2weQS-RnoOBhb1KsHKyoSQ,2016,5,2,2,1
61,2weQS-RnoOBhb1KsHKyoSQ,2010,7,15,2,4
62,2weQS-RnoOBhb1KsHKyoSQ,2016,4,13,1,5
63,2weQS-RnoOBhb1KsHKyoSQ,2010,1,21,4,3.75
64,2weQS-RnoOBhb1KsHKyoSQ,2013,2,17,1,4
65,2weQS-RnoOBhb1KsHKyoSQ,2010,5,3,1,5
66,2weQS-RnoOBhb1KsHKyoSQ,2011,12,14,1,3
67,2weQS-RnoOBhb1KsHKyoSQ,2015,10,3,1,2
68,2weQS-RnoOBhb1KsHKyoSQ,2009,4,1,1,4
69,2weQS-RnoOBhb1KsHKyoSQ,2015,1,1,2,3
70,2weQS-RnoOBhb1KsHKyoSQ,2010,7,26,2,3
71,2weQS-RnoOBhb1KsHKyoSQ,2014,8,14,2,4
72,2weQS-RnoOBhb1KsHKyoSQ,2009,8,30,3,3.666666667
73,2weQS-RnoOBhb1KsHKyoSQ,2015,1,2,1,5
74,2weQS-RnoOBhb1KsHKyoSQ,2016,1,17,4,3.5
75,2weQS-RnoOBhb1KsHKyoSQ,2013,8,27,2,4
76,2weQS-RnoOBhb1KsHKyoSQ,2013,3,23,1,5
77,2weQS-RnoOBhb1KsHKyoSQ,2008,1,16,1,4
78,2weQS-RnoOBhb1KsHKyoSQ,2008,12,30,3,3.666666667
79,2weQS-RnoOBhb1KsHKyoSQ,2012,11,18,2,4.5
80,2weQS-RnoOBhb1KsHKyoSQ,2009,10,19,1,4
81,2weQS-RnoOBhb1KsHKyoSQ,2010,1,5,1,5
82,2weQS-RnoOBhb1KsHKyoSQ,2014,4,19,5,3.6
83,2weQS-RnoOBhb1KsHKyoSQ,2014,5,11,2,2
84,2weQS-RnoOBhb1KsHKyoSQ,2013,12,10,3,2.666666667
85,2weQS-RnoOBhb1KsHKyoSQ,2012,5,18,1,5
86,2weQS-RnoOBhb1KsHKyoSQ,2012,11,26,2,3.5
87,2weQS-RnoOBhb1KsHKyoSQ,2016,7,25,2,2.5
88,2weQS-RnoOBhb1KsHKyoSQ,2011,1,28,1,4
89,2weQS-RnoOBhb1KsHKyoSQ,2008,8,15,1,5
90,2weQS-RnoOBhb1KsHKyoSQ,2008,12,26,4,2.5
91,2weQS-RnoOBhb1KsHKyoSQ,2009,10,13,1,5
92,2weQS-RnoOBhb1KsHKyoSQ,2013,8,25,2,2.5
93,2weQS-RnoOBhb1KsHKyoSQ,2013,7,22,2,4
94,2weQS-RnoOBhb1KsHKyoSQ,2014,5,12,2,3.5
95,2weQS-RnoOBhb1KsHKyoSQ,2011,3,13,3,3.666666667
96,2weQS-RnoOBhb1KsHKyoSQ,2014,3,4,2,3.5
97,2weQS-RnoOBhb1KsHKyoSQ,2012,3,13,1,4
98,2weQS-RnoOBhb1KsHKyoSQ,2016,8,9,3,3.666666667
99,2weQS-RnoOBhb1KsHKyoSQ,2010,5,20,2,4.5
100,2weQS-RnoOBhb1KsHKyoSQ,2013,1,7,1,5
101,2weQS-RnoOBhb1KsHKyoSQ,2008,10,7,2,4
102,2weQS-RnoOBhb1KsHKyoSQ,2009,10,27,2,3
103,2weQS-RnoOBhb1KsHKyoSQ,2008,6,2,2,3
104,2weQS-RnoOBhb1KsHKyoSQ,2016,11,6,1,5
105,2weQS-RnoOBhb1KsHKyoSQ,2010,5,27,2,4
106,2weQS-RnoOBhb1KsHKyoSQ,2015,10,9,1,2
107,2weQS-RnoOBhb1KsHKyoSQ,2013,7,16,1,4
108,2weQS-RnoOBhb1KsHKyoSQ,2015,7,29,2,3
109,2weQS-RnoOBhb1KsHKyoSQ,2009,5,2,1,4
110,2weQS-RnoOBhb1KsHKyoSQ,2012,8,11,1,5
111,2weQS-RnoOBhb1KsHKyoSQ,2014,8,15,1,5
112,2weQS-RnoOBhb1KsHKyoSQ,2011,1,31,1,5
113,2weQS-RnoOBhb1KsHKyoSQ,2008,2,21,1,4
114,2weQS-RnoOBhb1KsHKyoSQ,2012,2,18,1,3
115,2weQS-RnoOBhb1KsHKyoSQ,2011,12,6,1,3
116,2weQS-RnoOBhb1KsHKyoSQ,2014,8,29,4,4.25
117,2weQS-RnoOBhb1KsHKyoSQ,2012,2,29,1,3
118,2weQS-RnoOBhb1KsHKyoSQ,2010,8,8,1,5
119,2weQS-RnoOBhb1KsHKyoSQ,2013,2,3,2,2
120,2weQS-RnoOBhb1KsHKyoSQ,2016,11,10,2,2.5
121,2weQS-RnoOBhb1KsHKyoSQ,2010,9,15,2,5
122,2weQS-RnoOBhb1KsHKyoSQ,2010,8,10,2,4
123,2weQS-RnoOBhb1KsHKyoSQ,2012,5,1,2,2.5
124,2weQS-RnoOBhb1KsHKyoSQ,2009,5,3,1,3
125,2weQS-RnoOBhb1KsHKyoSQ,2015,3,26,2,4
126,2weQS-RnoOBhb1KsHKyoSQ,2007,12,20,1,5
127,2weQS-RnoOBhb1KsHKyoSQ,2009,1,21,2,4.5
128,2weQS-RnoOBhb1KsHKyoSQ,2012,12,22,1,4
129,2weQS-RnoOBhb1KsHKyoSQ,2008,8,12,2,4.5
130,2weQS-RnoOBhb1KsHKyoSQ,2013,3,21,1,1
131,2weQS-RnoOBhb1KsHKyoSQ,2008,10,10,1,5
132,2weQS-RnoOBhb1KsHKyoSQ,2012,3,10,2,4
133,2weQS-RnoOBhb1KsHKyoSQ,2009,4,14,2,5
134,2weQS-RnoOBhb1KsHKyoSQ,2014,3,31,3,5
135,2weQS-RnoOBhb1KsHKyoSQ,2014,1,21,1,2
136,2weQS-RnoOBhb1KsHKyoSQ,2011,1,19,3,4.333333333
137,2weQS-RnoOBhb1KsHKyoSQ,2009,11,12,2,5
138,2weQS-RnoOBhb1KsHKyoSQ,2016,7,23,1,2
139,2weQS-RnoOBhb1KsHKyoSQ,2010,8,21,1,4
140,2weQS-RnoOBhb1KsHKyoSQ,2012,1,31,1,3
141,2weQS-RnoOBhb1KsHKyoSQ,2013,6,20,1,5
142,2weQS-RnoOBhb1KsHKyoSQ,2008,10,21,1,4
143,2weQS-RnoOBhb1KsHKyoSQ,2011,8,19,1,3
144,2weQS-RnoOBhb1KsHKyoSQ,2009,1,24,1,4
145,2weQS-RnoOBhb1KsHKyoSQ,2010,7,11,1,5
146,2weQS-RnoOBhb1KsHKyoSQ,2011,11,14,1,3
147,2weQS-RnoOBhb1KsHKyoSQ,2013,4,17,1,3
148,2weQS-RnoOBhb1KsHKyoSQ,2009,11,6,1,5
149,2weQS-RnoOBhb1KsHKyoSQ,2009,8,18,1,5
150,2weQS-RnoOBhb1KsHKyoSQ,2011,4,18,2,3.5
151,2weQS-RnoOBhb1KsHKyoSQ,2015,1,19,2,4.5
152,2weQS-RnoOBhb1KsHKyoSQ,2007,12,11,1,4
153,2weQS-RnoOBhb1KsHKyoSQ,2013,11,29,3,3
154,2weQS-RnoOBhb1KsHKyoSQ,2012,3,18,2,3
155,2weQS-RnoOBhb1KsHKyoSQ,2006,8,21,1,2
156,2weQS-RnoOBhb1KsHKyoSQ,2016,4,25,1,4
157,2weQS-RnoOBhb1KsHKyoSQ,2014,5,30,2,3.5
158,2weQS-RnoOBhb1KsHKyoSQ,2011,6,25,1,5
159,2weQS-RnoOBhb1KsHKyoSQ,2016,9,10,3,3
160,2weQS-RnoOBhb1KsHKyoSQ,2015,11,25,3,3.333333333
161,2weQS-RnoOBhb1KsHKyoSQ,2013,1,16,2,3.5
162,2weQS-RnoOBhb1KsHKyoSQ,2016,5,24,1,4
163,2weQS-RnoOBhb1KsHKyoSQ,2015,2,8,1,3
164,2weQS-RnoOBhb1KsHKyoSQ,2015,4,13,1,5
165,2weQS-RnoOBhb1KsHKyoSQ,2008,6,10,1,3
166,2weQS-RnoOBhb1KsHKyoSQ,2010,6,26,1,5
167,2weQS-RnoOBhb1KsHKyoSQ,2012,12,4,1,5
168,2weQS-RnoOBhb1KsHKyoSQ,2009,1,28,3,3
169,2weQS-RnoOBhb1KsHKyoSQ,2012,5,2,1,5
170,2weQS-RnoOBhb1KsHKyoSQ,2010,2,6,1,5
171,2weQS-RnoOBhb1KsHKyoSQ,2008,11,3,1,4
172,2weQS-RnoOBhb1KsHKyoSQ,2008,3,15,1,5
173,2weQS-RnoOBhb1KsHKyoSQ,2010,1,11,2,4
174,2weQS-RnoOBhb1KsHKyoSQ,2011,1,13,1,4
175,2weQS-RnoOBhb1KsHKyoSQ,2007,6,5,1,5
176,2weQS-RnoOBhb1KsHKyoSQ,2014,8,27,2,3
177,2weQS-RnoOBhb1KsHKyoSQ,2012,1,17,4,4.25
178,2weQS-RnoOBhb1KsHKyoSQ,2016,12,7,1,4
179,2weQS-RnoOBhb1KsHKyoSQ,2009,8,31,1,2
180,2weQS-RnoOBhb1KsHKyoSQ,2012,4,30,1,3
181,2weQS-RnoOBhb1KsHKyoSQ,2011,2,2,3,4
182,2weQS-RnoOBhb1KsHKyoSQ,2016,8,5,2,4.5
183,2weQS-RnoOBhb1KsHKyoSQ,2016,12,25,2,5
184,2weQS-RnoOBhb1KsHKyoSQ,2010,4,4,3,4.666666667
185,2weQS-RnoOBhb1KsHKyoSQ,2016,9,18,1,4
186,2weQS-RnoOBhb1KsHKyoSQ,2016,1,26,2,4.5
187,2weQS-RnoOBhb1KsHKyoSQ,2009,3,16,1,3
188,2weQS-RnoOBhb1KsHKyoSQ,2012,11,19,1,2
189,2weQS-RnoOBhb1KsHKyoSQ,2008,1,14,1,4
190,2weQS-RnoOBhb1KsHKyoSQ,2015,6,4,2,3.5
191,2weQS-RnoOBhb1KsHKyoSQ,2016,4,12,2,1
192,2weQS-RnoOBhb1KsHKyoSQ,2011,9,8,5,3.4
193,2weQS-RnoOBhb1KsHKyoSQ,2010,1,7,2,4
194,2weQS-RnoOBhb1KsHKyoSQ,2015,7,20,1,4
195,2weQS-RnoOBhb1KsHKyoSQ,2013,5,31,2,5
196,2weQS-RnoOBhb1KsHKyoSQ,2011,5,19,1,3
197,2weQS-RnoOBhb1KsHKyoSQ,2011,7,19,2,2.5
198,2weQS-RnoOBhb1KsHKyoSQ,2016,6,18,2,3
199,2weQS-RnoOBhb1KsHKyoSQ,2009,9,28,1,5
200,2weQS-RnoOBhb1KsHKyoSQ,2010,11,17,1,4
201,2weQS-RnoOBhb1KsHKyoSQ,2008,11,27,1,4
202,2weQS-RnoOBhb1KsHKyoSQ,2009,4,24,1,4
203,2weQS-RnoOBhb1KsHKyoSQ,2007,5,29,1,4
204,2weQS-RnoOBhb1KsHKyoSQ,2011,11,4,1,4
205,2weQS-RnoOBhb1KsHKyoSQ,2011,7,5,1,5
206,2weQS-RnoOBhb1KsHKyoSQ,2015,6,3,2,3.5
207,2weQS-RnoOBhb1KsHKyoSQ,2016,7,30,2,4
208,2weQS-RnoOBhb1KsHKyoSQ,2015,1,11,1,2
209,2weQS-RnoOBhb1KsHKyoSQ,2008,8,27,2,4
210,2weQS-RnoOBhb1KsHKyoSQ,2011,12,28,3,3.666666667
211,2weQS-RnoOBhb1KsHKyoSQ,2008,7,20,1,5
212,2weQS-RnoOBhb1KsHKyoSQ,2013,3,13,1,1
213,2weQS-RnoOBhb1KsHKyoSQ,2009,11,3,1,5
214,2weQS-RnoOBhb1KsHKyoSQ,2014,9,10,1,5
215,2weQS-RnoOBhb1KsHKyoSQ,2011,9,1,1,3
216,2weQS-RnoOBhb1KsHKyoSQ,2008,7,24,1,5
217,2weQS-RnoOBhb1KsHKyoSQ,2013,7,8,3,2.666666667
218,2weQS-RnoOBhb1KsHKyoSQ,2010,7,17,1,2
219,2weQS-RnoOBhb1KsHKyoSQ,2013,9,1,2,1.5
220,2weQS-RnoOBhb1KsHKyoSQ,2009,8,19,1,5
221,2weQS-RnoOBhb1KsHKyoSQ,2008,1,28,1,4
222,2weQS-RnoOBhb1KsHKyoSQ,2009,7,12,2,4
223,2weQS-RnoOBhb1KsHKyoSQ,2008,11,15,1,2
224,2weQS-RnoOBhb1KsHKyoSQ,2012,1,7,1,1
225,2weQS-RnoOBhb1KsHKyoSQ,2015,8,26,1,5
226,2weQS-RnoOBhb1KsHKyoSQ,2006,9,13,2,4
227,2weQS-RnoOBhb1KsHKyoSQ,2011,1,16,2,4.5
228,2weQS-RnoOBhb1KsHKyoSQ,2008,9,2,2,4.5
229,2weQS-RnoOBhb1KsHKyoSQ,2009,12,4,2,3.5
230,2weQS-RnoOBhb1KsHKyoSQ,2013,3,20,3,4
231,2weQS-RnoOBhb1KsHKyoSQ,2009,11,22,1,5
232,2weQS-RnoOBhb1KsHKyoSQ,2015,6,8,2,3
233,2weQS-RnoOBhb1KsHKyoSQ,2013,4,24,1,5
234,2weQS-RnoOBhb1KsHKyoSQ,2009,5,29,1,5
235,2weQS-RnoOBhb1KsHKyoSQ,2012,10,10,1,1
236,2weQS-RnoOBhb1KsHKyoSQ,2013,11,13,1,3
237,2weQS-RnoOBhb1KsHKyoSQ,2015,7,8,1,3
238,2weQS-RnoOBhb1KsHKyoSQ,2013,12,3,1,1
239,2weQS-RnoOBhb1KsHKyoSQ,2009,4,9,4,4
240,2weQS-RnoOBhb1KsHKyoSQ,2009,5,19,2,2.5
241,2weQS-RnoOBhb1KsHKyoSQ,2016,6,2,4,4.75
242,2weQS-RnoOBhb1KsHKyoSQ,2012,2,21,3,2.666666667
243,2weQS-RnoOBhb1KsHKyoSQ,2010,1,25,2,4
244,2weQS-RnoOBhb1KsHKyoSQ,2016,10,22,1,4
245,2weQS-RnoOBhb1KsHKyoSQ,2010,9,18,1,1
246,2weQS-RnoOBhb1KsHKyoSQ,2013,10,14,2,2.5
247,2weQS-RnoOBhb1KsHKyoSQ,2014,3,17,1,5
248,2weQS-RnoOBhb1KsHKyoSQ,2013,3,12,1,4
249,2weQS-RnoOBhb1KsHKyoSQ,2013,6,4,1,4
250,2weQS-RnoOBhb1KsHKyoSQ,2012,10,19,1,4
251,2weQS-RnoOBhb1KsHKyoSQ,2013,10,15,1,5
252,2weQS-RnoOBhb1KsHKyoSQ,2012,10,9,1,5
253,2weQS-RnoOBhb1KsHKyoSQ,2012,12,31,1,1
254,2weQS-RnoOBhb1KsHKyoSQ,2014,10,11,1,3
255,2weQS-RnoOBhb1KsHKyoSQ,2015,7,22,1,1
256,2weQS-RnoOBhb1KsHKyoSQ,2016,8,4,4,3.5
257,2weQS-RnoOBhb1KsHKyoSQ,2012,10,21,2,5
258,2weQS-RnoOBhb1KsHKyoSQ,2011,1,3,3,2.666666667
259,2weQS-RnoOBhb1KsHKyoSQ,2016,7,4,1,4
260,2weQS-RnoOBhb1KsHKyoSQ,2006,10,25,1,3
261,2weQS-RnoOBhb1KsHKyoSQ,2016,3,4,1,4
262,2weQS-RnoOBhb1KsHKyoSQ,2012,2,10,1,4
263,2weQS-RnoOBhb1KsHKyoSQ,2009,9,4,1,3
264,2weQS-RnoOBhb1KsHKyoSQ,2010,8,12,2,5
265,2weQS-RnoOBhb1KsHKyoSQ,2008,9,18,2,4.5
266,2weQS-RnoOBhb1KsHKyoSQ,2015,5,15,1,3
267,2weQS-RnoOBhb1KsHKyoSQ,2016,3,16,1,4
268,2weQS-RnoOBhb1KsHKyoSQ,2013,5,7,2,2.5
269,2weQS-RnoOBhb1KsHKyoSQ,2016,6,14,1,4
270,2weQS-RnoOBhb1KsHKyoSQ,2016,1,25,1,5
271,2weQS-RnoOBhb1KsHKyoSQ,2012,5,30,2,3
272,2weQS-RnoOBhb1KsHKyoSQ,2013,2,28,1,2
273,2weQS-RnoOBhb1KsHKyoSQ,2011,4,23,2,4
274,2weQS-RnoOBhb1KsHKyoSQ,2013,1,26,1,4
275,2weQS-RnoOBhb1KsHKyoSQ,2011,8,21,2,4
276,2weQS-RnoOBhb1KsHKyoSQ,2015,12,23,3,4
277,2weQS-RnoOBhb1KsHKyoSQ,2011,5,18,3,4
278,2weQS-RnoOBhb1KsHKyoSQ,2010,1,27,6,3.833333333
279,2weQS-RnoOBhb1KsHKyoSQ,2015,12,28,1,4
280,2weQS-RnoOBhb1KsHKyoSQ,2008,3,11,1,5
281,2weQS-RnoOBhb1KsHKyoSQ,2007,7,7,1,4
282,2weQS-RnoOBhb1KsHKyoSQ,2016,12,31,2,4
283,2weQS-RnoOBhb1KsHKyoSQ,2010,11,21,2,4
284,2weQS-RnoOBhb1KsHKyoSQ,2013,6,22,2,2.5
285,2weQS-RnoOBhb1KsHKyoSQ,2010,11,16,1,3
286,2weQS-RnoOBhb1KsHKyoSQ,2012,6,18,1,1
287,2weQS-RnoOBhb1KsHKyoSQ,2015,6,18,1,4
288,2weQS-RnoOBhb1KsHKyoSQ,2013,9,9,1,2
289,2weQS-RnoOBhb1KsHKyoSQ,2007,4,9,1,4
290,2weQS-RnoOBhb1KsHKyoSQ,2010,5,18,1,4
291,2weQS-RnoOBhb1KsHKyoSQ,2008,11,18,1,3
292,2weQS-RnoOBhb1KsHKyoSQ,2010,10,18,4,4.25
293,2weQS-RnoOBhb1KsHKyoSQ,2016,5,3,5,4.4
294,2weQS-RnoOBhb1KsHKyoSQ,2009,12,16,2,4.5
295,2weQS-RnoOBhb1KsHKyoSQ,2008,12,20,1,5
296,2weQS-RnoOBhb1KsHKyoSQ,2013,8,13,3,3
297,2weQS-RnoOBhb1KsHKyoSQ,2012,10,29,1,1
298,2weQS-RnoOBhb1KsHKyoSQ,2015,2,7,1,4
299,2weQS-RnoOBhb1KsHKyoSQ,2013,6,10,2,4.5
