,business_id,year,month,dayofmonth,rating,count
0,RESDUcs7fIiihp38-d6_6g,2016,2,1,8,3.875
1,RESDUcs7fIiihp38-d6_6g,2015,12,25,4,1.0
2,RESDUcs7fIiihp38-d6_6g,2016,11,10,7,3.2857142857142856
3,RESDUcs7fIiihp38-d6_6g,2013,9,7,7,3.7142857142857144
4,RESDUcs7fIiihp38-d6_6g,2016,6,30,2,2.0
5,RESDUcs7fIiihp38-d6_6g,2014,5,31,3,3.6666666666666665
6,RESDUcs7fIiihp38-d6_6g,2013,3,26,1,4.0
7,RESDUcs7fIiihp38-d6_6g,2015,12,6,2,4.5
8,RESDUcs7fIiihp38-d6_6g,2015,1,13,4,3.25
9,RESDUcs7fIiihp38-d6_6g,2013,12,9,3,4.666666666666667
10,RESDUcs7fIiihp38-d6_6g,2014,9,2,6,2.5
11,RESDUcs7fIiihp38-d6_6g,2014,1,1,5,5.0
12,RESDUcs7fIiihp38-d6_6g,2014,7,29,7,3.5714285714285716
13,RESDUcs7fIiihp38-d6_6g,2014,11,28,3,3.6666666666666665
14,RESDUcs7fIiihp38-d6_6g,2014,6,12,2,5.0
15,RESDUcs7fIiihp38-d6_6g,2014,1,2,7,4.285714285714286
16,RESDUcs7fIiihp38-d6_6g,2015,7,27,7,3.0
17,RESDUcs7fIiihp38-d6_6g,2013,2,28,3,4.0
18,RESDUcs7fIiihp38-d6_6g,2015,6,15,6,4.333333333333333
19,RESDUcs7fIiihp38-d6_6g,2014,10,18,3,5.0
20,RESDUcs7fIiihp38-d6_6g,2014,5,3,2,4.5
21,RESDUcs7fIiihp38-d6_6g,2013,9,3,9,3.5555555555555554
22,RESDUcs7fIiihp38-d6_6g,2015,4,19,4,3.75
23,RESDUcs7fIiihp38-d6_6g,2015,2,3,3,4.666666666666667
24,RESDUcs7fIiihp38-d6_6g,2014,1,17,3,4.333333333333333
25,RESDUcs7fIiihp38-d6_6g,2013,9,21,3,4.333333333333333
26,RESDUcs7fIiihp38-d6_6g,2016,7,15,1,5.0
27,RESDUcs7fIiihp38-d6_6g,2016,12,26,8,2.5
28,RESDUcs7fIiihp38-d6_6g,2012,11,9,3,3.6666666666666665
29,RESDUcs7fIiihp38-d6_6g,2016,3,2,5,4.0
30,RESDUcs7fIiihp38-d6_6g,2015,10,20,4,2.75
31,RESDUcs7fIiihp38-d6_6g,2014,6,6,2,4.5
32,RESDUcs7fIiihp38-d6_6g,2014,6,10,5,4.2
33,RESDUcs7fIiihp38-d6_6g,2016,6,28,8,3.625
34,RESDUcs7fIiihp38-d6_6g,2012,9,20,6,4.666666666666667
35,RESDUcs7fIiihp38-d6_6g,2014,11,27,2,3.0
36,RESDUcs7fIiihp38-d6_6g,2013,5,7,1,4.0
37,RESDUcs7fIiihp38-d6_6g,2015,9,12,3,3.0
38,RESDUcs7fIiihp38-d6_6g,2012,12,3,1,3.0
39,RESDUcs7fIiihp38-d6_6g,2012,11,12,4,3.0
40,RESDUcs7fIiihp38-d6_6g,2016,3,24,5,4.8
41,RESDUcs7fIiihp38-d6_6g,2016,7,22,4,2.5
42,RESDUcs7fIiihp38-d6_6g,2015,10,4,2,4.5
43,RESDUcs7fIiihp38-d6_6g,2013,7,23,4,3.5
44,RESDUcs7fIiihp38-d6_6g,2016,6,9,7,3.5714285714285716
45,RESDUcs7fIiihp38-d6_6g,2016,5,26,5,4.2
46,RESDUcs7fIiihp38-d6_6g,2014,1,28,5,4.0
47,RESDUcs7fIiihp38-d6_6g,2014,8,2,2,3.0
48,RESDUcs7fIiihp38-d6_6g,2014,3,28,6,3.6666666666666665
49,RESDUcs7fIiihp38-d6_6g,2016,7,28,2,2.5
50,RESDUcs7fIiihp38-d6_6g,2016,2,10,2,4.5
51,RESDUcs7fIiihp38-d6_6g,2016,6,7,7,4.714285714285714
52,RESDUcs7fIiihp38-d6_6g,2013,4,2,5,4.4
53,RESDUcs7fIiihp38-d6_6g,2012,9,23,6,4.666666666666667
54,RESDUcs7fIiihp38-d6_6g,2012,9,24,4,4.0
55,RESDUcs7fIiihp38-d6_6g,2014,6,9,5,3.8
56,RESDUcs7fIiihp38-d6_6g,2015,5,23,3,3.3333333333333335
57,RESDUcs7fIiihp38-d6_6g,2015,4,7,4,3.25
58,RESDUcs7fIiihp38-d6_6g,2013,10,18,1,4.0
59,RESDUcs7fIiihp38-d6_6g,2015,5,16,1,3.0
60,RESDUcs7fIiihp38-d6_6g,2014,10,14,4,3.0
61,RESDUcs7fIiihp38-d6_6g,2013,12,11,4,4.25
62,RESDUcs7fIiihp38-d6_6g,2013,4,3,4,3.75
63,RESDUcs7fIiihp38-d6_6g,2016,4,13,5,3.8
64,RESDUcs7fIiihp38-d6_6g,2016,5,1,4,3.5
65,RESDUcs7fIiihp38-d6_6g,2014,7,14,5,3.8
66,RESDUcs7fIiihp38-d6_6g,2016,7,7,2,4.5
67,RESDUcs7fIiihp38-d6_6g,2013,2,7,2,4.0
68,RESDUcs7fIiihp38-d6_6g,2015,3,24,4,4.25
69,RESDUcs7fIiihp38-d6_6g,2014,7,8,6,3.3333333333333335
70,RESDUcs7fIiihp38-d6_6g,2014,1,26,3,2.3333333333333335
71,RESDUcs7fIiihp38-d6_6g,2015,5,7,3,3.6666666666666665
72,RESDUcs7fIiihp38-d6_6g,2014,12,30,4,2.75
73,RESDUcs7fIiihp38-d6_6g,2015,3,27,3,3.6666666666666665
74,RESDUcs7fIiihp38-d6_6g,2015,9,21,7,3.857142857142857
75,RESDUcs7fIiihp38-d6_6g,2014,12,18,4,4.25
76,RESDUcs7fIiihp38-d6_6g,2014,10,20,2,4.0
77,RESDUcs7fIiihp38-d6_6g,2013,12,29,6,2.0
78,RESDUcs7fIiihp38-d6_6g,2016,1,15,5,4.0
79,RESDUcs7fIiihp38-d6_6g,2015,5,31,3,5.0
80,RESDUcs7fIiihp38-d6_6g,2015,1,15,3,4.0
81,RESDUcs7fIiihp38-d6_6g,2014,7,5,4,4.25
82,RESDUcs7fIiihp38-d6_6g,2014,3,4,4,3.25
83,RESDUcs7fIiihp38-d6_6g,2014,2,12,2,4.5
84,RESDUcs7fIiihp38-d6_6g,2013,6,25,3,4.333333333333333
85,RESDUcs7fIiihp38-d6_6g,2015,9,10,4,4.25
86,RESDUcs7fIiihp38-d6_6g,2013,11,18,7,3.857142857142857
87,RESDUcs7fIiihp38-d6_6g,2013,8,12,5,4.4
88,RESDUcs7fIiihp38-d6_6g,2013,11,13,5,4.6
89,RESDUcs7fIiihp38-d6_6g,2013,2,16,3,3.3333333333333335
90,RESDUcs7fIiihp38-d6_6g,2015,8,19,7,4.571428571428571
91,RESDUcs7fIiihp38-d6_6g,2014,2,23,5,4.2
92,RESDUcs7fIiihp38-d6_6g,2013,1,28,4,4.25
93,RESDUcs7fIiihp38-d6_6g,2015,6,7,3,4.666666666666667
94,RESDUcs7fIiihp38-d6_6g,2015,3,20,1,4.0
95,RESDUcs7fIiihp38-d6_6g,2012,12,31,2,4.5
96,RESDUcs7fIiihp38-d6_6g,2016,3,25,2,5.0
97,RESDUcs7fIiihp38-d6_6g,2016,3,6,2,5.0
98,RESDUcs7fIiihp38-d6_6g,2014,7,12,6,4.5
99,RESDUcs7fIiihp38-d6_6g,2015,11,2,3,3.0
100,RESDUcs7fIiihp38-d6_6g,2014,2,20,4,3.0
