,business_id,year,month,dayofmonth,rating,count
0,eoHdUeQDNgQ6WYEnP2aiRw,2011,12,20,4,3.75
1,eoHdUeQDNgQ6WYEnP2aiRw,2010,11,17,4,2.75
2,eoHdUeQDNgQ6WYEnP2aiRw,2015,10,9,3,4.666666666666667
3,eoHdUeQDNgQ6WYEnP2aiRw,2013,8,28,2,1.0
4,eoHdUeQDNgQ6WYEnP2aiRw,2012,3,20,2,3.5
5,eoHdUeQDNgQ6WYEnP2aiRw,2012,12,4,4,2.75
6,eoHdUeQDNgQ6WYEnP2aiRw,2016,4,2,5,3.4
7,eoHdUeQDNgQ6WYEnP2aiRw,2009,9,23,3,3.3333333333333335
8,eoHdUeQDNgQ6WYEnP2aiRw,2011,5,4,1,4.0
9,eoHdUeQDNgQ6WYEnP2aiRw,2014,10,25,2,3.5
10,eoHdUeQDNgQ6WYEnP2aiRw,2011,1,3,3,2.6666666666666665
11,eoHdUeQDNgQ6WYEnP2aiRw,2013,12,6,1,4.0
12,eoHdUeQDNgQ6WYEnP2aiRw,2012,8,13,3,3.0
13,eoHdUeQDNgQ6WYEnP2aiRw,2009,7,7,1,2.0
14,eoHdUeQDNgQ6WYEnP2aiRw,2015,3,23,1,5.0
15,eoHdUeQDNgQ6WYEnP2aiRw,2014,4,20,1,4.0
16,eoHdUeQDNgQ6WYEnP2aiRw,2012,7,11,2,2.0
17,eoHdUeQDNgQ6WYEnP2aiRw,2011,12,27,3,4.0
18,eoHdUeQDNgQ6WYEnP2aiRw,2011,2,15,3,2.6666666666666665
19,eoHdUeQDNgQ6WYEnP2aiRw,2011,5,2,2,2.0
20,eoHdUeQDNgQ6WYEnP2aiRw,2011,11,22,3,2.6666666666666665
21,eoHdUeQDNgQ6WYEnP2aiRw,2013,8,18,4,1.75
22,eoHdUeQDNgQ6WYEnP2aiRw,2013,9,26,2,2.5
23,eoHdUeQDNgQ6WYEnP2aiRw,2011,2,16,1,1.0
24,eoHdUeQDNgQ6WYEnP2aiRw,2014,11,23,1,4.0
25,eoHdUeQDNgQ6WYEnP2aiRw,2015,8,27,1,5.0
26,eoHdUeQDNgQ6WYEnP2aiRw,2011,10,18,1,5.0
27,eoHdUeQDNgQ6WYEnP2aiRw,2016,12,28,1,2.0
28,eoHdUeQDNgQ6WYEnP2aiRw,2015,6,8,3,1.3333333333333333
