,business_id,year,month,dayofmonth,rating,count
0,f4x1YBxkLrZg652xt2KR5g,2015,1,29,5,3.4
1,f4x1YBxkLrZg652xt2KR5g,2012,1,12,1,4.0
2,f4x1YBxkLrZg652xt2KR5g,2014,9,23,2,4.5
3,f4x1YBxkLrZg652xt2KR5g,2017,1,15,2,2.0
4,f4x1YBxkLrZg652xt2KR5g,2014,2,8,1,4.0
5,f4x1YBxkLrZg652xt2KR5g,2014,3,3,2,4.5
6,f4x1YBxkLrZg652xt2KR5g,2012,4,30,1,2.0
7,f4x1YBxkLrZg652xt2KR5g,2010,9,13,2,2.5
8,f4x1YBxkLrZg652xt2KR5g,2017,1,20,1,1.0
9,f4x1YBxkLrZg652xt2KR5g,2012,5,25,1,4.0
10,f4x1YBxkLrZg652xt2KR5g,2016,9,15,1,5.0
11,f4x1YBxkLrZg652xt2KR5g,2011,4,27,1,4.0
12,f4x1YBxkLrZg652xt2KR5g,2012,12,17,2,3.5
13,f4x1YBxkLrZg652xt2KR5g,2010,2,17,1,4.0
14,f4x1YBxkLrZg652xt2KR5g,2015,3,12,4,3.0
15,f4x1YBxkLrZg652xt2KR5g,2015,4,10,4,4.5
16,f4x1YBxkLrZg652xt2KR5g,2016,8,8,4,4.25
17,f4x1YBxkLrZg652xt2KR5g,2013,3,27,4,4.0
18,f4x1YBxkLrZg652xt2KR5g,2012,6,29,3,3.3333333333333335
19,f4x1YBxkLrZg652xt2KR5g,2013,9,29,3,4.666666666666667
20,f4x1YBxkLrZg652xt2KR5g,2015,5,4,2,3.0
21,f4x1YBxkLrZg652xt2KR5g,2015,3,22,4,4.0
22,f4x1YBxkLrZg652xt2KR5g,2015,1,24,1,4.0
23,f4x1YBxkLrZg652xt2KR5g,2016,1,5,5,4.2
24,f4x1YBxkLrZg652xt2KR5g,2015,1,4,5,3.4
25,f4x1YBxkLrZg652xt2KR5g,2015,12,7,2,3.5
26,f4x1YBxkLrZg652xt2KR5g,2016,6,23,5,4.8
27,f4x1YBxkLrZg652xt2KR5g,2013,12,27,1,5.0
28,f4x1YBxkLrZg652xt2KR5g,2016,9,19,2,4.5
29,f4x1YBxkLrZg652xt2KR5g,2015,8,27,3,2.3333333333333335
30,f4x1YBxkLrZg652xt2KR5g,2016,9,23,2,4.5
31,f4x1YBxkLrZg652xt2KR5g,2014,2,9,1,2.0
32,f4x1YBxkLrZg652xt2KR5g,2016,2,26,2,4.0
33,f4x1YBxkLrZg652xt2KR5g,2016,8,11,1,1.0
