,business_id,year,month,dayofmonth,rating,count
0,hihud--QRriCYZw1zZvW4g,2016,7,6,5,4.4
1,hihud--QRriCYZw1zZvW4g,2015,8,22,5,5.0
2,hihud--QRriCYZw1zZvW4g,2014,9,19,1,5.0
3,hihud--QRriCYZw1zZvW4g,2016,2,16,4,3.75
4,hihud--QRriCYZw1zZvW4g,2016,10,19,2,4.5
5,hihud--QRriCYZw1zZvW4g,2016,2,8,9,5.0
6,hihud--QRriCYZw1zZvW4g,2016,6,3,5,4.8
7,hihud--QRriCYZw1zZvW4g,2013,12,12,2,4.0
8,hihud--QRriCYZw1zZvW4g,2015,6,21,3,4.333333333333333
9,hihud--QRriCYZw1zZvW4g,2016,7,14,7,4.714285714285714
10,hihud--QRriCYZw1zZvW4g,2015,3,15,4,4.75
11,hihud--QRriCYZw1zZvW4g,2016,9,19,6,5.0
12,hihud--QRriCYZw1zZvW4g,2015,10,21,4,4.5
13,hihud--QRriCYZw1zZvW4g,2016,11,23,2,4.5
14,hihud--QRriCYZw1zZvW4g,2016,12,21,4,4.25
15,hihud--QRriCYZw1zZvW4g,2015,10,31,5,5.0
16,hihud--QRriCYZw1zZvW4g,2015,5,6,4,4.25
17,hihud--QRriCYZw1zZvW4g,2015,9,13,6,4.833333333333333
18,hihud--QRriCYZw1zZvW4g,2016,3,23,11,4.7272727272727275
19,hihud--QRriCYZw1zZvW4g,2014,12,28,1,3.0
20,hihud--QRriCYZw1zZvW4g,2016,3,27,18,4.777777777777778
21,hihud--QRriCYZw1zZvW4g,2016,6,19,8,5.0
22,hihud--QRriCYZw1zZvW4g,2016,12,22,2,4.5
23,hihud--QRriCYZw1zZvW4g,2015,9,24,4,5.0
24,hihud--QRriCYZw1zZvW4g,2015,12,16,9,4.555555555555555
25,hihud--QRriCYZw1zZvW4g,2015,7,10,2,5.0
26,hihud--QRriCYZw1zZvW4g,2016,12,14,1,5.0
27,hihud--QRriCYZw1zZvW4g,2016,12,31,2,5.0
28,hihud--QRriCYZw1zZvW4g,2015,5,14,1,5.0
29,hihud--QRriCYZw1zZvW4g,2016,4,29,7,5.0
30,hihud--QRriCYZw1zZvW4g,2016,11,13,1,4.0
31,hihud--QRriCYZw1zZvW4g,2016,1,27,2,4.5
32,hihud--QRriCYZw1zZvW4g,2015,11,30,11,4.545454545454546
33,hihud--QRriCYZw1zZvW4g,2015,3,17,4,4.25
34,hihud--QRriCYZw1zZvW4g,2016,1,6,6,4.333333333333333
35,hihud--QRriCYZw1zZvW4g,2016,10,12,4,4.5
36,hihud--QRriCYZw1zZvW4g,2015,7,22,3,4.666666666666667
37,hihud--QRriCYZw1zZvW4g,2013,12,3,1,4.0
38,hihud--QRriCYZw1zZvW4g,2015,12,10,5,4.6
39,hihud--QRriCYZw1zZvW4g,2017,1,17,2,4.5
40,hihud--QRriCYZw1zZvW4g,2015,4,10,1,5.0
41,hihud--QRriCYZw1zZvW4g,2015,8,27,1,4.0
42,hihud--QRriCYZw1zZvW4g,2016,5,6,7,4.714285714285714
43,hihud--QRriCYZw1zZvW4g,2016,7,8,12,5.0
44,hihud--QRriCYZw1zZvW4g,2015,12,8,4,5.0
45,hihud--QRriCYZw1zZvW4g,2016,5,28,14,4.714285714285714
46,hihud--QRriCYZw1zZvW4g,2015,7,15,4,5.0
47,hihud--QRriCYZw1zZvW4g,2015,11,16,7,4.857142857142857
48,hihud--QRriCYZw1zZvW4g,2014,3,7,1,5.0
49,hihud--QRriCYZw1zZvW4g,2015,4,28,1,3.0
50,hihud--QRriCYZw1zZvW4g,2016,5,22,8,4.875
51,hihud--QRriCYZw1zZvW4g,2016,12,17,2,4.5
52,hihud--QRriCYZw1zZvW4g,2015,9,19,15,4.866666666666666
53,hihud--QRriCYZw1zZvW4g,2015,4,27,1,5.0
54,hihud--QRriCYZw1zZvW4g,2016,3,4,9,4.333333333333333
55,hihud--QRriCYZw1zZvW4g,2015,5,18,4,4.75
56,hihud--QRriCYZw1zZvW4g,2016,10,11,5,4.6
57,hihud--QRriCYZw1zZvW4g,2014,7,7,2,5.0
58,hihud--QRriCYZw1zZvW4g,2015,11,17,5,4.2
59,hihud--QRriCYZw1zZvW4g,2014,8,19,1,5.0
60,hihud--QRriCYZw1zZvW4g,2016,2,9,3,4.333333333333333
61,hihud--QRriCYZw1zZvW4g,2016,2,28,13,4.6923076923076925
62,hihud--QRriCYZw1zZvW4g,2015,3,11,4,5.0
63,hihud--QRriCYZw1zZvW4g,2014,9,8,1,2.0
64,hihud--QRriCYZw1zZvW4g,2015,7,26,9,4.333333333333333
65,hihud--QRriCYZw1zZvW4g,2016,2,10,3,5.0
66,hihud--QRriCYZw1zZvW4g,2015,7,9,4,4.25
67,hihud--QRriCYZw1zZvW4g,2015,7,17,6,4.5
68,hihud--QRriCYZw1zZvW4g,2016,4,11,6,5.0
69,hihud--QRriCYZw1zZvW4g,2015,3,16,9,4.222222222222222
70,hihud--QRriCYZw1zZvW4g,2015,9,23,1,4.0
71,hihud--QRriCYZw1zZvW4g,2015,4,8,1,4.0
72,hihud--QRriCYZw1zZvW4g,2015,8,11,2,5.0
73,hihud--QRriCYZw1zZvW4g,2014,11,30,1,5.0
74,hihud--QRriCYZw1zZvW4g,2013,7,10,1,5.0
75,hihud--QRriCYZw1zZvW4g,2015,6,2,3,5.0
76,hihud--QRriCYZw1zZvW4g,2016,2,11,8,4.875
77,hihud--QRriCYZw1zZvW4g,2016,3,6,6,4.5
78,hihud--QRriCYZw1zZvW4g,2014,4,8,1,5.0
79,hihud--QRriCYZw1zZvW4g,2016,3,20,4,4.5
80,hihud--QRriCYZw1zZvW4g,2017,1,16,2,4.0
81,hihud--QRriCYZw1zZvW4g,2015,3,13,1,3.0
82,hihud--QRriCYZw1zZvW4g,2016,6,2,8,4.75
83,hihud--QRriCYZw1zZvW4g,2017,1,3,1,5.0
84,hihud--QRriCYZw1zZvW4g,2015,4,3,1,5.0
85,hihud--QRriCYZw1zZvW4g,2016,9,21,5,4.8
86,hihud--QRriCYZw1zZvW4g,2016,1,24,13,4.615384615384615
87,hihud--QRriCYZw1zZvW4g,2014,8,2,1,5.0
88,hihud--QRriCYZw1zZvW4g,2016,11,4,3,5.0
89,hihud--QRriCYZw1zZvW4g,2016,9,25,9,5.0
90,hihud--QRriCYZw1zZvW4g,2015,10,5,9,5.0
91,hihud--QRriCYZw1zZvW4g,2014,3,20,1,4.0
92,hihud--QRriCYZw1zZvW4g,2013,6,2,1,4.0
93,hihud--QRriCYZw1zZvW4g,2015,8,10,8,4.625
94,hihud--QRriCYZw1zZvW4g,2015,8,13,9,4.888888888888889
95,hihud--QRriCYZw1zZvW4g,2016,5,24,10,4.8
96,hihud--QRriCYZw1zZvW4g,2016,3,22,6,4.666666666666667
97,hihud--QRriCYZw1zZvW4g,2016,1,17,12,4.75
98,hihud--QRriCYZw1zZvW4g,2015,4,4,2,4.0
99,hihud--QRriCYZw1zZvW4g,2014,6,21,1,1.0
100,hihud--QRriCYZw1zZvW4g,2015,6,6,5,5.0
101,hihud--QRriCYZw1zZvW4g,2015,10,23,3,5.0
102,hihud--QRriCYZw1zZvW4g,2016,4,28,8,4.625
103,hihud--QRriCYZw1zZvW4g,2015,11,24,13,4.6923076923076925
104,hihud--QRriCYZw1zZvW4g,2016,2,5,12,4.583333333333333
105,hihud--QRriCYZw1zZvW4g,2015,8,23,11,4.909090909090909
106,hihud--QRriCYZw1zZvW4g,2015,8,17,7,4.857142857142857
107,hihud--QRriCYZw1zZvW4g,2016,1,13,5,5.0
108,hihud--QRriCYZw1zZvW4g,2016,4,21,3,4.0
109,hihud--QRriCYZw1zZvW4g,2015,12,4,4,5.0
110,hihud--QRriCYZw1zZvW4g,2015,7,12,7,4.714285714285714
111,hihud--QRriCYZw1zZvW4g,2016,2,25,7,4.714285714285714
112,hihud--QRriCYZw1zZvW4g,2016,5,20,6,4.666666666666667
113,hihud--QRriCYZw1zZvW4g,2015,7,24,3,5.0
114,hihud--QRriCYZw1zZvW4g,2015,7,29,4,4.75
115,hihud--QRriCYZw1zZvW4g,2015,5,30,7,4.571428571428571
116,hihud--QRriCYZw1zZvW4g,2013,6,23,1,5.0
117,hihud--QRriCYZw1zZvW4g,2015,10,19,8,4.625
118,hihud--QRriCYZw1zZvW4g,2015,4,1,2,5.0
119,hihud--QRriCYZw1zZvW4g,2015,11,20,6,4.5
120,hihud--QRriCYZw1zZvW4g,2015,12,1,1,5.0
121,hihud--QRriCYZw1zZvW4g,2016,12,23,1,4.0
122,hihud--QRriCYZw1zZvW4g,2015,10,13,8,4.875
123,hihud--QRriCYZw1zZvW4g,2016,9,10,14,4.285714285714286
124,hihud--QRriCYZw1zZvW4g,2015,5,20,3,4.333333333333333
125,hihud--QRriCYZw1zZvW4g,2017,1,14,2,3.0
126,hihud--QRriCYZw1zZvW4g,2015,6,30,4,4.75
127,hihud--QRriCYZw1zZvW4g,2016,1,16,19,4.842105263157895
128,hihud--QRriCYZw1zZvW4g,2015,6,28,4,4.75
129,hihud--QRriCYZw1zZvW4g,2014,7,16,1,4.0
130,hihud--QRriCYZw1zZvW4g,2015,7,1,3,4.333333333333333
131,hihud--QRriCYZw1zZvW4g,2016,8,9,10,4.9
132,hihud--QRriCYZw1zZvW4g,2016,2,3,8,4.0
133,hihud--QRriCYZw1zZvW4g,2016,4,24,11,4.636363636363637
134,hihud--QRriCYZw1zZvW4g,2016,1,21,5,5.0
135,hihud--QRriCYZw1zZvW4g,2015,4,5,2,4.5
136,hihud--QRriCYZw1zZvW4g,2016,11,27,3,3.6666666666666665
137,hihud--QRriCYZw1zZvW4g,2016,4,13,7,4.0
138,hihud--QRriCYZw1zZvW4g,2015,10,26,10,4.7
139,hihud--QRriCYZw1zZvW4g,2016,4,9,10,4.7
140,hihud--QRriCYZw1zZvW4g,2015,12,11,7,4.857142857142857
141,hihud--QRriCYZw1zZvW4g,2016,9,5,6,5.0
142,hihud--QRriCYZw1zZvW4g,2016,12,25,2,3.5
143,hihud--QRriCYZw1zZvW4g,2016,6,5,10,4.4
144,hihud--QRriCYZw1zZvW4g,2016,2,2,2,5.0
145,hihud--QRriCYZw1zZvW4g,2016,7,7,4,5.0
146,hihud--QRriCYZw1zZvW4g,2016,11,17,2,5.0
147,hihud--QRriCYZw1zZvW4g,2016,5,27,11,4.636363636363637
148,hihud--QRriCYZw1zZvW4g,2015,5,27,5,4.2
149,hihud--QRriCYZw1zZvW4g,2015,5,23,5,4.8
150,hihud--QRriCYZw1zZvW4g,2016,4,4,7,4.857142857142857
151,hihud--QRriCYZw1zZvW4g,2016,8,18,3,5.0
152,hihud--QRriCYZw1zZvW4g,2015,2,21,1,5.0
153,hihud--QRriCYZw1zZvW4g,2015,5,8,4,4.75
154,hihud--QRriCYZw1zZvW4g,2015,10,27,3,5.0
155,hihud--QRriCYZw1zZvW4g,2016,9,20,4,4.0
156,hihud--QRriCYZw1zZvW4g,2015,6,5,1,4.0
157,hihud--QRriCYZw1zZvW4g,2015,3,5,1,4.0
158,hihud--QRriCYZw1zZvW4g,2015,10,3,6,5.0
159,hihud--QRriCYZw1zZvW4g,2016,10,30,1,4.0
160,hihud--QRriCYZw1zZvW4g,2016,3,11,2,5.0
161,hihud--QRriCYZw1zZvW4g,2013,9,3,1,5.0
162,hihud--QRriCYZw1zZvW4g,2014,4,20,1,5.0
163,hihud--QRriCYZw1zZvW4g,2015,5,16,3,5.0
164,hihud--QRriCYZw1zZvW4g,2016,1,19,9,5.0
165,hihud--QRriCYZw1zZvW4g,2016,4,30,17,4.705882352941177
166,hihud--QRriCYZw1zZvW4g,2015,6,3,5,4.6
167,hihud--QRriCYZw1zZvW4g,2015,11,6,5,4.8
168,hihud--QRriCYZw1zZvW4g,2014,5,5,1,4.0
169,hihud--QRriCYZw1zZvW4g,2016,11,1,2,5.0
170,hihud--QRriCYZw1zZvW4g,2016,12,18,1,5.0
171,hihud--QRriCYZw1zZvW4g,2015,2,26,1,4.0
172,hihud--QRriCYZw1zZvW4g,2015,11,4,3,5.0
173,hihud--QRriCYZw1zZvW4g,2015,4,11,5,4.4
174,hihud--QRriCYZw1zZvW4g,2016,10,5,7,4.714285714285714
175,hihud--QRriCYZw1zZvW4g,2016,3,24,8,5.0
176,hihud--QRriCYZw1zZvW4g,2015,7,19,2,5.0
177,hihud--QRriCYZw1zZvW4g,2016,2,17,9,4.555555555555555
178,hihud--QRriCYZw1zZvW4g,2014,8,31,1,4.0
179,hihud--QRriCYZw1zZvW4g,2017,1,20,1,5.0
180,hihud--QRriCYZw1zZvW4g,2016,11,12,1,5.0
181,hihud--QRriCYZw1zZvW4g,2015,10,16,8,5.0
182,hihud--QRriCYZw1zZvW4g,2016,11,22,1,5.0
183,hihud--QRriCYZw1zZvW4g,2015,4,17,1,5.0
184,hihud--QRriCYZw1zZvW4g,2016,1,8,5,4.6
185,hihud--QRriCYZw1zZvW4g,2016,5,30,14,4.285714285714286
186,hihud--QRriCYZw1zZvW4g,2015,3,25,2,5.0
187,hihud--QRriCYZw1zZvW4g,2015,6,12,2,5.0
188,hihud--QRriCYZw1zZvW4g,2016,9,29,3,4.666666666666667
189,hihud--QRriCYZw1zZvW4g,2015,12,24,18,4.444444444444445
190,hihud--QRriCYZw1zZvW4g,2015,1,13,1,2.0
191,hihud--QRriCYZw1zZvW4g,2015,3,9,2,5.0
192,hihud--QRriCYZw1zZvW4g,2014,3,10,1,4.0
193,hihud--QRriCYZw1zZvW4g,2016,8,15,8,4.875
194,hihud--QRriCYZw1zZvW4g,2015,5,10,2,5.0
195,hihud--QRriCYZw1zZvW4g,2016,6,13,17,4.647058823529412
196,hihud--QRriCYZw1zZvW4g,2016,5,18,11,4.636363636363637
197,hihud--QRriCYZw1zZvW4g,2015,10,28,3,4.666666666666667
198,hihud--QRriCYZw1zZvW4g,2015,7,18,5,5.0
199,hihud--QRriCYZw1zZvW4g,2015,9,4,5,5.0
200,hihud--QRriCYZw1zZvW4g,2013,11,10,1,5.0
201,hihud--QRriCYZw1zZvW4g,2015,8,25,1,5.0
202,hihud--QRriCYZw1zZvW4g,2015,3,23,2,4.5
203,hihud--QRriCYZw1zZvW4g,2016,5,2,8,4.75
204,hihud--QRriCYZw1zZvW4g,2016,9,1,6,4.833333333333333
205,hihud--QRriCYZw1zZvW4g,2016,2,7,13,4.6923076923076925
206,hihud--QRriCYZw1zZvW4g,2013,10,4,1,4.0
207,hihud--QRriCYZw1zZvW4g,2013,8,13,1,5.0
208,hihud--QRriCYZw1zZvW4g,2016,8,1,8,5.0
209,hihud--QRriCYZw1zZvW4g,2016,8,13,8,4.5
210,hihud--QRriCYZw1zZvW4g,2015,7,2,7,5.0
211,hihud--QRriCYZw1zZvW4g,2016,11,10,1,4.0
212,hihud--QRriCYZw1zZvW4g,2016,3,12,10,4.2
213,hihud--QRriCYZw1zZvW4g,2016,9,22,2,5.0
214,hihud--QRriCYZw1zZvW4g,2014,6,29,1,4.0
215,hihud--QRriCYZw1zZvW4g,2016,3,18,6,4.833333333333333
216,hihud--QRriCYZw1zZvW4g,2016,9,7,5,5.0
217,hihud--QRriCYZw1zZvW4g,2016,2,26,4,5.0
218,hihud--QRriCYZw1zZvW4g,2016,6,18,15,4.666666666666667
219,hihud--QRriCYZw1zZvW4g,2016,7,1,15,5.0
220,hihud--QRriCYZw1zZvW4g,2015,9,16,4,5.0
221,hihud--QRriCYZw1zZvW4g,2016,6,22,11,4.909090909090909
222,hihud--QRriCYZw1zZvW4g,2016,6,20,10,4.3
223,hihud--QRriCYZw1zZvW4g,2016,3,26,15,4.866666666666666
224,hihud--QRriCYZw1zZvW4g,2015,12,21,17,4.705882352941177
225,hihud--QRriCYZw1zZvW4g,2016,12,24,1,5.0
226,hihud--QRriCYZw1zZvW4g,2015,8,29,3,4.666666666666667
227,hihud--QRriCYZw1zZvW4g,2016,10,10,4,4.5
228,hihud--QRriCYZw1zZvW4g,2015,11,21,9,4.777777777777778
229,hihud--QRriCYZw1zZvW4g,2015,9,26,10,4.6
230,hihud--QRriCYZw1zZvW4g,2015,5,1,4,4.25
231,hihud--QRriCYZw1zZvW4g,2015,11,8,4,4.0
232,hihud--QRriCYZw1zZvW4g,2015,6,1,2,4.5
233,hihud--QRriCYZw1zZvW4g,2016,1,25,8,4.625
234,hihud--QRriCYZw1zZvW4g,2016,7,3,16,4.6875
235,hihud--QRriCYZw1zZvW4g,2016,9,24,10,4.9
236,hihud--QRriCYZw1zZvW4g,2016,9,14,5,4.8
237,hihud--QRriCYZw1zZvW4g,2015,12,22,21,4.523809523809524
238,hihud--QRriCYZw1zZvW4g,2016,1,10,5,4.8
239,hihud--QRriCYZw1zZvW4g,2014,7,23,1,4.0
240,hihud--QRriCYZw1zZvW4g,2016,6,23,4,5.0
241,hihud--QRriCYZw1zZvW4g,2015,12,17,3,5.0
242,hihud--QRriCYZw1zZvW4g,2016,9,18,6,4.5
243,hihud--QRriCYZw1zZvW4g,2016,7,10,6,4.166666666666667
244,hihud--QRriCYZw1zZvW4g,2013,6,17,2,3.5
245,hihud--QRriCYZw1zZvW4g,2016,10,23,3,3.3333333333333335
246,hihud--QRriCYZw1zZvW4g,2015,5,19,2,5.0
247,hihud--QRriCYZw1zZvW4g,2016,7,5,6,4.833333333333333
248,hihud--QRriCYZw1zZvW4g,2014,7,29,1,4.0
249,hihud--QRriCYZw1zZvW4g,2015,12,31,19,4.684210526315789
250,hihud--QRriCYZw1zZvW4g,2016,10,14,8,4.75
251,hihud--QRriCYZw1zZvW4g,2016,7,13,5,4.8
252,hihud--QRriCYZw1zZvW4g,2016,12,1,1,5.0
253,hihud--QRriCYZw1zZvW4g,2014,2,12,1,4.0
254,hihud--QRriCYZw1zZvW4g,2015,9,27,12,4.833333333333333
255,hihud--QRriCYZw1zZvW4g,2015,10,17,10,4.7
256,hihud--QRriCYZw1zZvW4g,2015,5,5,3,4.666666666666667
257,hihud--QRriCYZw1zZvW4g,2014,7,6,1,4.0
258,hihud--QRriCYZw1zZvW4g,2016,6,11,11,4.636363636363637
259,hihud--QRriCYZw1zZvW4g,2015,12,20,7,4.285714285714286
260,hihud--QRriCYZw1zZvW4g,2016,10,16,1,5.0
261,hihud--QRriCYZw1zZvW4g,2016,5,13,7,4.571428571428571
262,hihud--QRriCYZw1zZvW4g,2014,12,1,1,2.0
263,hihud--QRriCYZw1zZvW4g,2016,7,22,1,1.0
