,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,type,marker
0,2910 E Germann Rd,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: False', 'DriveThru: True', 'GoodForKids: True', 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no', ""GoodForMeal: {'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}""]",105f7-pVm48HQDB2BGk11g,restaurants burgers fast food,Chandler,"['Monday 10:30-1:0', 'Tuesday 10:30-1:0', 'Wednesday 10:30-1:0', 'Thursday 10:30-1:0', 'Friday 10:30-1:30', 'Saturday 10:30-1:30', 'Sunday 10:30-1:0']",1,33.2811847,-111.7901918,In-N-Out Burger,,85249,52,4.0,AZ,business,Burger
1,7301 E Butherus Dr,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'DriveThru: False', 'GoodForKids: False', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HappyHour: True', 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'Smoking: yes', 'WheelchairAccessible: True', 'WiFi: free', 'GoodForDancing: True']",VF4KH9JVolOeo2XojphthQ,restaurants american (new) food nightlife burgers wine bars desserts bars arts & entertainment music venues,Scottsdale,"['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-2:0', 'Saturday 11:0-2:0', 'Sunday 11:0-22:0']",1,33.6222352,-111.9217332,BLK Live,,85260,42,4.0,AZ,business,Burger
2,"403 E Catawba St, Ste 200","['Alcohol: beer_and_wine', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsBitcoin: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'DogsAllowed: True', 'DriveThru: False', 'GoodForKids: True', 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}""]",z2Yivr-C0K0H2sLNXvnZyg,home & garden burgers appliances restaurants shopping american (traditional) barbeque breakfast & brunch southern hot dogs,Belmont,"['Monday 11:0-20:0', 'Tuesday 11:0-20:0', 'Wednesday 11:0-20:0', 'Thursday 11:0-20:0', 'Friday 11:0-21:0', 'Saturday 7:0-21:0', 'Sunday 7:0-15:0']",1,35.243139855,-81.0284845728,Peace -N- Hominy Q Shack,,28012,168,4.5,NC,business,Burger
3,205 N Country Club Dr,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no', 'DriveThru: False']",EtZacHzJ2gw0V9Sdm2rLQA,restaurants burgers greek mediterranean sandwiches salad,Mesa,"['Monday 10:30-20:0', 'Tuesday 10:30-20:0', 'Wednesday 10:30-20:0', 'Thursday 10:30-20:0', 'Friday 10:30-20:0', 'Saturday 10:30-20:0']",1,33.4198793,-111.8394439,George's Gyros,,85201,113,4.5,AZ,business,Burger
4,4302 William Penn Hwy,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', 'DriveThru: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True']",p7JJ9fCP8QP3jN7SyOTtnQ,burgers american (traditional) restaurants,Monroeville,"['Monday 10:30-22:30', 'Tuesday 10:30-22:30', 'Wednesday 10:30-22:30', 'Thursday 10:30-22:30', 'Friday 10:30-23:0', 'Saturday 10:30-22:30', 'Sunday 11:0-21:0']",1,40.4390648367,-79.7590996698,Penn Station East Coast Subs,,15146,11,4.0,PA,business,Burger
5,"435 S Tryon St, Ste 140","['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BYOB: False', 'BYOBCorkage: no', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DriveThru: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",O5AjarihqW1V8RlJnoef9A,restaurants hot dogs burgers sandwiches,Charlotte,"['Monday 10:30-15:0', 'Tuesday 10:30-15:0', 'Wednesday 10:30-15:0', 'Thursday 10:30-15:0', 'Friday 10:30-15:0']",1,35.2240131,-80.8464728,Matt's Chicago Dog,Uptown,28202,58,4.0,NC,business,Burger
6,906 N 15th Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'DogsAllowed: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False', 'WiFi: free']",1JF9TbJ2d5hH8xsQvvklHg,breakfast & brunch american (new) restaurants mexican burgers,Phoenix,"['Monday 7:0-17:0', 'Tuesday 7:0-17:0', 'Wednesday 7:0-17:0', 'Thursday 7:0-17:0', 'Friday 7:0-17:0', 'Saturday 7:0-17:0', 'Sunday 7:0-14:0']",1,33.4579187,-112.0915077,Irma's Kitchen,,85007,143,4.5,AZ,business,Burger
7,2055 Rue Peel,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'DogsAllowed: False', 'DriveThru: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': True}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",WOd8tWsh2Yt_osHv-ngx_w,burgers pizza breakfast & brunch restaurants french,Montréal,"['Monday 7:0-22:0', 'Tuesday 7:0-22:0', 'Wednesday 7:0-23:0', 'Thursday 7:0-0:0', 'Friday 7:0-0:0', 'Saturday 7:0-0:0', 'Sunday 7:0-22:0']",1,45.5015765,-73.5755787,Universel,Ville-Marie,H3A 1V4,251,4.0,QC,business,Burger
8,17109 Lorain Ave,"['Alcohol: none', 'BusinessAcceptsCreditCards: True', 'GoodForKids: True', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV: True', 'BikeParking: True', 'BusinessAcceptsBitcoin: True', 'Caters: True', 'DogsAllowed: True']",txVbZR1mAB6GL8G4Sx4KHA,burgers pizza chicken wings restaurants,Cleveland,"['Monday 13:0-1:0', 'Tuesday 13:0-1:0', 'Wednesday 13:0-1:0', 'Thursday 13:0-1:0', 'Friday 13:0-3:0', 'Saturday 13:0-3:0', 'Sunday 13:0-22:0']",1,41.449895,-81.8162,West Side Slices,,44111,4,4.0,OH,business,Burger
9,,"['BusinessAcceptsCreditCards: True', 'GoodForKids: True', 'RestaurantsGoodForGroups: True', 'RestaurantsTakeOut: True']",9_SM4w8LoVrPT98KPaJrYQ,restaurants food burgers food trucks fast food breakfast & brunch,Charlotte,"['Friday 17:0-2:0', 'Saturday 9:0-2:0', 'Sunday 11:0-21:0']",1,35.2270869,-80.8431267,The Cookin Coop,Uptown,,3,5.0,NC,business,Burger
