,business_id,year,ratings
19,2weQS-RnoOBhb1KsHKyoSQ,2006,4
86,2weQS-RnoOBhb1KsHKyoSQ,2007,4.024691358
63,2weQS-RnoOBhb1KsHKyoSQ,2008,3.88185654
58,2weQS-RnoOBhb1KsHKyoSQ,2009,3.863049096
22,2weQS-RnoOBhb1KsHKyoSQ,2010,3.894117647
5,2weQS-RnoOBhb1KsHKyoSQ,2011,3.67413442
20,2weQS-RnoOBhb1KsHKyoSQ,2012,3.608801956
75,2weQS-RnoOBhb1KsHKyoSQ,2013,3.463276836
60,2weQS-RnoOBhb1KsHKyoSQ,2014,3.494475138
33,2weQS-RnoOBhb1KsHKyoSQ,2015,3.305177112
11,2weQS-RnoOBhb1KsHKyoSQ,2016,3.459770115
65,2weQS-RnoOBhb1KsHKyoSQ,2017,3.842105263
73,4JNXUYY8wbaaDmk3BPzlWw,2005,4.666666667
52,4JNXUYY8wbaaDmk3BPzlWw,2006,4.352941176
67,4JNXUYY8wbaaDmk3BPzlWw,2007,4.119402985
21,4JNXUYY8wbaaDmk3BPzlWw,2008,3.990291262
17,4JNXUYY8wbaaDmk3BPzlWw,2009,4.058823529
14,4JNXUYY8wbaaDmk3BPzlWw,2010,4.066481994
4,4JNXUYY8wbaaDmk3BPzlWw,2011,4.136563877
54,4JNXUYY8wbaaDmk3BPzlWw,2012,4.104575163
23,4JNXUYY8wbaaDmk3BPzlWw,2013,4.142166344
2,4JNXUYY8wbaaDmk3BPzlWw,2014,4.109576427
50,4JNXUYY8wbaaDmk3BPzlWw,2015,4.131016043
46,4JNXUYY8wbaaDmk3BPzlWw,2016,4.091101695
76,4JNXUYY8wbaaDmk3BPzlWw,2017,4.163934426
3,cYwJA2A6I12KNkm2rtXd5g,2012,3.3125
51,cYwJA2A6I12KNkm2rtXd5g,2013,3.804469274
6,cYwJA2A6I12KNkm2rtXd5g,2014,3.882398155
88,cYwJA2A6I12KNkm2rtXd5g,2015,3.955686854
79,cYwJA2A6I12KNkm2rtXd5g,2016,3.862252664
77,cYwJA2A6I12KNkm2rtXd5g,2017,3.912280702
10,DkYS3arLOhA8si5uUEmHOw,2007,3.666666667
37,DkYS3arLOhA8si5uUEmHOw,2008,4.170731707
1,DkYS3arLOhA8si5uUEmHOw,2009,4.298850575
62,DkYS3arLOhA8si5uUEmHOw,2010,4.455223881
18,DkYS3arLOhA8si5uUEmHOw,2011,4.452609159
9,DkYS3arLOhA8si5uUEmHOw,2012,4.326011561
49,DkYS3arLOhA8si5uUEmHOw,2013,4.224403927
74,DkYS3arLOhA8si5uUEmHOw,2014,4.007739938
53,DkYS3arLOhA8si5uUEmHOw,2015,4.119266055
84,DkYS3arLOhA8si5uUEmHOw,2016,4.222222222
12,DkYS3arLOhA8si5uUEmHOw,2017,4.111111111
89,eoHdUeQDNgQ6WYEnP2aiRw,2009,3.219387755
42,eoHdUeQDNgQ6WYEnP2aiRw,2010,3.21728972
68,eoHdUeQDNgQ6WYEnP2aiRw,2011,3.127062706
30,eoHdUeQDNgQ6WYEnP2aiRw,2012,2.982608696
87,eoHdUeQDNgQ6WYEnP2aiRw,2013,2.947069943
66,eoHdUeQDNgQ6WYEnP2aiRw,2014,2.907523511
64,eoHdUeQDNgQ6WYEnP2aiRw,2015,3.138195777
40,eoHdUeQDNgQ6WYEnP2aiRw,2016,3.019120459
85,eoHdUeQDNgQ6WYEnP2aiRw,2017,2.8
83,f4x1YBxkLrZg652xt2KR5g,2010,3.478723404
80,f4x1YBxkLrZg652xt2KR5g,2011,3.672268908
72,f4x1YBxkLrZg652xt2KR5g,2012,3.904069767
43,f4x1YBxkLrZg652xt2KR5g,2013,3.886363636
27,f4x1YBxkLrZg652xt2KR5g,2014,3.846264368
44,f4x1YBxkLrZg652xt2KR5g,2015,3.932275132
48,f4x1YBxkLrZg652xt2KR5g,2016,4.006535948
26,f4x1YBxkLrZg652xt2KR5g,2017,3.810810811
15,hihud--QRriCYZw1zZvW4g,2013,4.181818182
61,hihud--QRriCYZw1zZvW4g,2014,4.25
32,hihud--QRriCYZw1zZvW4g,2015,4.66953317
59,hihud--QRriCYZw1zZvW4g,2016,4.6942324
0,hihud--QRriCYZw1zZvW4g,2017,4.515151515
34,K7lWdNUhCbcnEvI0NhGewg,2010,3.826086957
57,K7lWdNUhCbcnEvI0NhGewg,2011,3.850053937
78,K7lWdNUhCbcnEvI0NhGewg,2012,3.751328374
8,K7lWdNUhCbcnEvI0NhGewg,2013,3.774912075
16,K7lWdNUhCbcnEvI0NhGewg,2014,3.542702703
13,K7lWdNUhCbcnEvI0NhGewg,2015,3.69201995
24,K7lWdNUhCbcnEvI0NhGewg,2016,3.670406732
29,K7lWdNUhCbcnEvI0NhGewg,2017,3.84375
38,RESDUcs7fIiihp38-d6_6g,2012,3.87403599
55,RESDUcs7fIiihp38-d6_6g,2013,3.912371134
31,RESDUcs7fIiihp38-d6_6g,2014,3.790273556
69,RESDUcs7fIiihp38-d6_6g,2015,3.847780127
28,RESDUcs7fIiihp38-d6_6g,2016,3.610169492
70,RESDUcs7fIiihp38-d6_6g,2017,3.471428571
56,ujHiaprwCQ5ewziu0Vi9rw,2005,5
82,ujHiaprwCQ5ewziu0Vi9rw,2006,4.130434783
81,ujHiaprwCQ5ewziu0Vi9rw,2007,3.6875
47,ujHiaprwCQ5ewziu0Vi9rw,2008,3.89017341
45,ujHiaprwCQ5ewziu0Vi9rw,2009,3.737201365
41,ujHiaprwCQ5ewziu0Vi9rw,2010,3.676767677
39,ujHiaprwCQ5ewziu0Vi9rw,2011,3.691144708
71,ujHiaprwCQ5ewziu0Vi9rw,2012,3.464467005
35,ujHiaprwCQ5ewziu0Vi9rw,2013,3.197986577
90,ujHiaprwCQ5ewziu0Vi9rw,2014,3.354748603
7,ujHiaprwCQ5ewziu0Vi9rw,2015,3.280172414
36,ujHiaprwCQ5ewziu0Vi9rw,2016,3.081967213
25,ujHiaprwCQ5ewziu0Vi9rw,2017,3.185185185
