,business_id,year,month,dayofmonth,rating,count
0,ujHiaprwCQ5ewziu0Vi9rw,2014,12,8,4,4.25
1,ujHiaprwCQ5ewziu0Vi9rw,2009,7,5,1,5.0
2,ujHiaprwCQ5ewziu0Vi9rw,2010,6,6,1,4.0
3,ujHiaprwCQ5ewziu0Vi9rw,2012,6,26,2,2.5
4,ujHiaprwCQ5ewziu0Vi9rw,2009,12,6,1,5.0
5,ujHiaprwCQ5ewziu0Vi9rw,2010,9,22,1,4.0
6,ujHiaprwCQ5ewziu0Vi9rw,2008,12,19,1,4.0
7,ujHiaprwCQ5ewziu0Vi9rw,2010,11,26,2,4.5
8,ujHiaprwCQ5ewziu0Vi9rw,2012,9,15,2,2.5
9,ujHiaprwCQ5ewziu0Vi9rw,2009,3,25,1,3.0
10,ujHiaprwCQ5ewziu0Vi9rw,2016,4,26,3,3.6666666666666665
11,ujHiaprwCQ5ewziu0Vi9rw,2009,7,1,3,3.6666666666666665
12,ujHiaprwCQ5ewziu0Vi9rw,2007,6,26,1,2.0
13,ujHiaprwCQ5ewziu0Vi9rw,2009,10,14,1,3.0
14,ujHiaprwCQ5ewziu0Vi9rw,2010,8,26,1,4.0
15,ujHiaprwCQ5ewziu0Vi9rw,2009,12,21,1,5.0
16,ujHiaprwCQ5ewziu0Vi9rw,2014,1,28,1,5.0
17,ujHiaprwCQ5ewziu0Vi9rw,2014,2,23,1,5.0
18,ujHiaprwCQ5ewziu0Vi9rw,2015,11,22,1,5.0
19,ujHiaprwCQ5ewziu0Vi9rw,2013,3,25,1,3.0
20,ujHiaprwCQ5ewziu0Vi9rw,2011,7,15,1,4.0
21,ujHiaprwCQ5ewziu0Vi9rw,2011,4,14,2,4.0
22,ujHiaprwCQ5ewziu0Vi9rw,2015,2,9,3,4.0
23,ujHiaprwCQ5ewziu0Vi9rw,2007,4,13,1,4.0
24,ujHiaprwCQ5ewziu0Vi9rw,2014,10,2,1,2.0
25,ujHiaprwCQ5ewziu0Vi9rw,2008,1,6,1,2.0
26,ujHiaprwCQ5ewziu0Vi9rw,2010,11,3,1,3.0
27,ujHiaprwCQ5ewziu0Vi9rw,2014,6,20,3,4.0
28,ujHiaprwCQ5ewziu0Vi9rw,2008,7,18,1,5.0
29,ujHiaprwCQ5ewziu0Vi9rw,2010,8,31,1,4.0
30,ujHiaprwCQ5ewziu0Vi9rw,2015,6,21,1,3.0
31,ujHiaprwCQ5ewziu0Vi9rw,2016,2,8,2,4.5
32,ujHiaprwCQ5ewziu0Vi9rw,2010,3,5,2,3.5
33,ujHiaprwCQ5ewziu0Vi9rw,2016,3,29,4,3.25
34,ujHiaprwCQ5ewziu0Vi9rw,2013,1,5,3,2.6666666666666665
35,ujHiaprwCQ5ewziu0Vi9rw,2008,11,13,1,2.0
36,ujHiaprwCQ5ewziu0Vi9rw,2016,8,12,2,3.5
37,ujHiaprwCQ5ewziu0Vi9rw,2011,10,14,2,3.5
38,ujHiaprwCQ5ewziu0Vi9rw,2016,5,13,1,3.0
39,ujHiaprwCQ5ewziu0Vi9rw,2014,10,24,4,3.75
40,ujHiaprwCQ5ewziu0Vi9rw,2010,4,12,2,3.0
41,ujHiaprwCQ5ewziu0Vi9rw,2011,3,2,1,4.0
42,ujHiaprwCQ5ewziu0Vi9rw,2015,10,13,2,3.0
43,ujHiaprwCQ5ewziu0Vi9rw,2016,1,15,1,5.0
44,ujHiaprwCQ5ewziu0Vi9rw,2014,9,24,1,5.0
45,ujHiaprwCQ5ewziu0Vi9rw,2006,7,24,1,5.0
46,ujHiaprwCQ5ewziu0Vi9rw,2013,8,26,1,3.0
47,ujHiaprwCQ5ewziu0Vi9rw,2011,1,3,2,3.5
48,ujHiaprwCQ5ewziu0Vi9rw,2015,4,22,2,4.5
49,ujHiaprwCQ5ewziu0Vi9rw,2011,1,6,2,4.0
50,ujHiaprwCQ5ewziu0Vi9rw,2011,7,21,1,2.0
51,ujHiaprwCQ5ewziu0Vi9rw,2013,2,18,1,3.0
52,ujHiaprwCQ5ewziu0Vi9rw,2014,5,7,1,4.0
53,ujHiaprwCQ5ewziu0Vi9rw,2014,1,9,2,3.0
54,ujHiaprwCQ5ewziu0Vi9rw,2016,4,13,1,5.0
55,ujHiaprwCQ5ewziu0Vi9rw,2010,12,19,4,4.25
56,ujHiaprwCQ5ewziu0Vi9rw,2007,10,21,1,3.0
57,ujHiaprwCQ5ewziu0Vi9rw,2014,1,11,1,4.0
58,ujHiaprwCQ5ewziu0Vi9rw,2015,9,29,1,4.0
59,ujHiaprwCQ5ewziu0Vi9rw,2011,8,10,1,5.0
60,ujHiaprwCQ5ewziu0Vi9rw,2012,5,9,1,3.0
61,ujHiaprwCQ5ewziu0Vi9rw,2009,5,23,1,4.0
62,ujHiaprwCQ5ewziu0Vi9rw,2010,9,1,2,3.5
63,ujHiaprwCQ5ewziu0Vi9rw,2011,8,3,2,2.5
64,ujHiaprwCQ5ewziu0Vi9rw,2011,12,10,1,3.0
65,ujHiaprwCQ5ewziu0Vi9rw,2010,9,25,3,1.6666666666666667
66,ujHiaprwCQ5ewziu0Vi9rw,2011,4,20,2,3.5
67,ujHiaprwCQ5ewziu0Vi9rw,2011,12,25,2,4.0
68,ujHiaprwCQ5ewziu0Vi9rw,2015,5,25,2,2.0
69,ujHiaprwCQ5ewziu0Vi9rw,2011,5,15,1,4.0
70,ujHiaprwCQ5ewziu0Vi9rw,2014,8,23,2,2.0
71,ujHiaprwCQ5ewziu0Vi9rw,2010,2,17,2,5.0
72,ujHiaprwCQ5ewziu0Vi9rw,2011,6,23,1,5.0
73,ujHiaprwCQ5ewziu0Vi9rw,2010,6,17,1,2.0
74,ujHiaprwCQ5ewziu0Vi9rw,2012,8,22,1,4.0
75,ujHiaprwCQ5ewziu0Vi9rw,2011,4,18,3,3.0
76,ujHiaprwCQ5ewziu0Vi9rw,2016,6,18,1,2.0
77,ujHiaprwCQ5ewziu0Vi9rw,2008,4,23,2,4.0
78,ujHiaprwCQ5ewziu0Vi9rw,2015,5,22,2,4.5
79,ujHiaprwCQ5ewziu0Vi9rw,2009,12,8,1,5.0
80,ujHiaprwCQ5ewziu0Vi9rw,2016,9,4,4,2.25
81,ujHiaprwCQ5ewziu0Vi9rw,2010,1,2,1,2.0
82,ujHiaprwCQ5ewziu0Vi9rw,2008,12,1,1,4.0
83,ujHiaprwCQ5ewziu0Vi9rw,2014,1,5,4,3.5
84,ujHiaprwCQ5ewziu0Vi9rw,2015,6,23,4,2.75
85,ujHiaprwCQ5ewziu0Vi9rw,2010,10,9,3,2.0
86,ujHiaprwCQ5ewziu0Vi9rw,2013,10,9,1,3.0
87,ujHiaprwCQ5ewziu0Vi9rw,2012,7,26,3,4.0
88,ujHiaprwCQ5ewziu0Vi9rw,2015,12,25,1,1.0
89,ujHiaprwCQ5ewziu0Vi9rw,2015,1,17,1,3.0
90,ujHiaprwCQ5ewziu0Vi9rw,2006,9,2,2,5.0
