uid,user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
31,kK0QDyfeSwcZl4gGilnW7w,Amy,1243,2012-09-23,15,13,16,0,3,141,27,27,27,3,73,90,152,152,193,68
67,UXbCcmkYGl3DH_Py5UOtbQ,Toni,2058,2007-10-04,64020,43682,63478,0,4,8443,3512,5899,1536,2188,6507,9821,9634,9634,5751,1196
156,xceJT1G2Yhel3W2lRxRTDA,Susan,1089,2007-03-14,5322,2707,4528,0,3,259,27,17,29,9,116,227,341,341,66,32
174,5gbkhlWANGVzQYi_0m3vOQ,Jess,2322,2008-03-06,832,491,596,0,3,476,22,40,38,8,117,182,493,493,497,164
211,oBhQMjrT0zdSLdlybWRA_w,Clarence,1155,2008-01-08,339,28,25,0,3,12,14,5,1,1,11,40,46,46,25,1
348,_H1VvAk65d2z-2-XuLHkmw,Jackie,1450,2007-07-29,243,155,123,0,3,59,10,5,6,5,22,49,102,102,35,23
365,jVYzrVblDFSuL3GHtt8ZSA,Crystal,1030,2008-10-24,17090,4443,12903,0,3,842,70,45,114,52,589,2620,1266,1266,216,115
366,To0GTLW5MGZwOg5TxxZIQA,Ericka,1440,2008-02-07,3761,3585,3118,0,3,659,42,38,46,42,335,766,745,745,271,113
367,Eypq5gLLjCapBVVnMw_MyA,Misha,3179,2007-10-29,19,25,10,0,3,70,13,9,9,4,42,78,107,107,49,9
491,4SJS_m-JXc0oASx6x5Mjkw,Min,2158,2007-02-21,12290,6303,5627,0,3,2739,148,109,401,78,1028,1656,2804,2804,434,148
508,QJI9OSEn6ujRCtrX06vs1w,J,1983,2007-03-19,4756,4681,4734,0,3,1274,98,156,52,68,777,3662,2068,2068,562,1484
654,vgwdQ0fpDZdoTidJuwYq7w,Colleen,1301,2005-09-19,1067,467,828,0,3,98,16,1,13,2,36,88,103,103,20,9
720,pD4c0eVE0ImAgcag4w4-lA,Pauline,1418,2008-02-28,322,307,285,0,3,1104,115,75,67,30,191,422,1035,1035,389,191
722,DHRupjFv4GyD0tEdj-QNjQ,Mike,1318,2009-02-28,3863,3753,3786,0,3,746,50,60,71,44,500,1177,1180,1180,317,51
777,VD8Ox-akHloK3-QV3FxY-g,Nikki,1038,2006-09-11,6045,3021,1708,0,3,142,17,16,16,17,88,232,174,174,26,4
852,dIIKEfOgo0KqUfGQvGikPg,Gabi,1730,2007-08-10,20759,13432,21237,0,4,1499,81,89,224,96,1136,3220,2053,2053,438,208
856,_pBzBgtCTN9PNUPfgPDI8A,Trina,1848,2008-06-05,2983,3006,2998,0,4,1911,189,282,62,33,567,1953,2345,2345,1006,677
940,hGeXKYWkqJgFC1u_Sh6kCg,Andy,1065,2008-06-09,393,286,290,0,3,237,54,29,37,17,193,271,380,380,78,31
943,lf1m4CbheuUR7fFZoLGRvA,Rick,1012,2007-11-18,966,769,866,0,3,191,35,20,26,15,107,171,248,248,128,16
956,G-uVT9JxNMbrPApvuVO6pg,Brinda,1030,2008-05-27,147,109,74,0,3,33,14,3,7,4,39,81,76,76,22,9
959,PgrCdD3iPgYzXxO8QsMnew,Jessica,1063,2009-02-14,1142,236,175,0,3,50,8,4,7,8,20,47,71,71,48,5
980,hWDybu_KvYLSdEFzGrniTw,Bruce,7125,2009-03-08,16936,14304,14350,0,3,1028,290,218,10,26,608,1763,1378,1378,814,674
982,0BBUmH7Krcax1RZgbH4fSA,"Laura C",1165,2010-03-18,952,523,679,0,3,139,28,8,5,15,194,308,139,139,123,37
1063,U4INQZOPSUaj8hMjLlZ3KA,Michael,3632,2008-01-31,406,276,315,0,3,278,71,38,9,51,413,629,738,738,591,463
1066,kaqlSjOjI8YW7PcLdanK-w,Kim,1031,2009-07-25,1414,689,575,0,3,134,14,13,21,6,103,220,160,160,50,101
1074,xJpvRrk04rb4rgWtMXaPUQ,Kenny,2222,2009-12-18,114,101,60,0,3,57,9,8,6,11,55,110,189,189,114,29
1140,Wx7cbLDqYEL3_aVZwh82Ww,Sapna,1117,2009-05-07,10,4,5,0,3,56,17,13,17,3,61,117,172,172,77,19
1145,2HchhLgGj16aITZGVy0hqA,Yi,2346,2008-01-12,309,511,68,0,3,193,44,39,24,42,116,187,397,397,183,42
1225,ruKI02UFEyBcvow5DXoGRQ,Vanessa,1027,2008-06-18,153,114,60,0,3,12,12,2,1,5,24,32,26,26,15,6
1297,AvC5XQAElcGAAn_Wr5auEg,Benjamin,1120,2009-12-30,12070,8907,9873,0,4,164,38,24,41,16,507,1626,586,586,248,129
1330,kxA0vTDi1KABuA5Tgg1HKA,Erika,1879,2006-01-03,422,376,375,0,3,732,48,42,91,44,321,721,547,547,156,81
1334,PLOYtrCMUFPHQe2IbYAd5g,Joanna,1965,2011-01-09,10125,4176,8233,0,3,156,23,21,7,10,179,335,257,257,177,30
1395,IhmBr-yHC8xLjdnoq7O37w,Amuse,1842,2008-03-26,144,108,75,0,3,35,26,6,1,7,58,68,54,54,36,26
1400,swmrfBnaqU0nyJ3pFBfNgQ,Rita,1442,2008-05-06,6383,1711,1867,0,3,519,19,24,13,6,144,358,894,894,187,18
1403,l0-VQ8nA_oijpKlRB7dkow,Robert,1194,2009-02-03,364,313,225,0,4,53,8,7,0,7,55,59,81,81,39,6
1422,Vkj42md-5O3VoOD9pBg6Sw,Rick,1391,2012-10-18,11,3,5,0,3,19,8,3,1,4,35,44,34,34,47,21
1483,p6nBKyT9Y_pFJ1WxVEowwA,Andrew,1351,2006-06-14,9,14,0,0,3,8,6,1,2,4,25,16,59,59,12,3
1490,UE-rXhA8njNnADFkDA3EuA,Inigo,2329,2006-03-14,41,29,11,0,3,7,8,13,3,1,12,33,25,25,7,7
1495,_BHTC7nyCBoZcfiiD5cOXg,Gourmet,2102,2005-06-19,4578,5121,1946,0,3,104,38,13,7,9,146,263,176,176,103,32
1818,mn_KE-TkvEaVuhIAlpHstA,Paige,1045,2011-04-18,124,93,146,0,3,33,6,4,2,16,48,105,80,80,69,8
2013,rcU7ysY41qGppbw4pQgjqg,Damien,1551,2007-06-30,11499,4969,9346,0,3,811,77,88,98,86,863,2570,1205,1205,379,136
2015,FArIEoSKbCcVqWc2eWNFXA,Caroline,1052,2010-11-16,1862,2374,2223,0,3,171,5,7,9,26,110,309,250,250,70,8
2030,qD51vvp5Zf5DgPEGy7yfDQ,Marsha,1068,2006-03-03,6341,4311,7199,0,3,809,103,97,148,89,241,528,787,787,176,80
2069,uIZWBUF9ovbXWG2dVJ6Zfw,Joe,1538,2013-04-30,11,9,5,0,3,5,3,2,0,2,9,9,3,3,9,31
2083,WWWujmZ95y0a2RR5_kQ9sw,Curt,1422,2009-09-03,887,655,559,0,3,77,21,19,1,1,48,200,143,143,71,12
2156,mvK1pv-x0Z5rP4Hz9cWBWw,Betty,1577,2007-07-17,21510,20188,20114,0,3,7760,695,711,633,166,1375,4746,5497,5497,2675,2156
2157,UG4EKu13JRwzRix6ESINdg,Edward,1014,2009-06-05,208,462,825,0,3,51,12,2,1,0,49,114,83,83,17,3
2163,6mMk9hO_RAbdGMEGeg3oWQ,Jim,1366,2006-05-27,384,175,374,0,3,119,14,9,9,6,47,66,206,206,52,17
2178,pMefTWo6gMdx8WhYSA2u3w,Bernie,1017,2012-07-16,717,563,617,0,3,91,25,6,1,3,348,736,419,419,92,29
2182,IDVX4Is4CanREchBmpFXoA,Rick,1275,2005-10-22,580,573,498,0,3,257,59,19,81,26,217,251,290,290,100,80
2188,XCW5pJCDhvlW76XTSUEkIg,Ivy,1616,2008-08-21,76949,76186,76303,0,3,2291,114,128,161,77,716,2096,3434,3434,1120,550
2388,h1KzT38UnfzR7maSi7oVUw,Andrew,1092,2010-07-26,23,5,2,0,3,12,11,6,0,0,25,28,10,10,7,0
2565,UOM1TCOUqT2UD19p-yxWLA,Ai,2000,2008-05-08,8405,1001,25570,0,3,103,36,18,7,4,122,154,261,261,72,27
3002,ZMocFA2lNMJeiKjguUKu7g,Jack,1005,2012-05-09,7544,265,104,0,3,911,150,111,12,7,820,2059,2763,2763,694,353
3008,ibvH1Y7Rh_tstiWgH0OFTA,Veronica,1386,2007-05-01,67,31,35,0,3,200,14,19,38,5,52,128,208,208,123,23
3160,Yd0Do7Ki_GQlUdLKuJr2YA,James,1015,2008-11-10,565,223,17,0,3,4,4,0,0,0,2,10,13,13,3,2
3243,e3fX7_qkoSm-6-yTdlwcXw,"Riza H.",1143,2007-03-28,978,165,758,0,3,139,16,17,2,21,125,895,280,280,127,35
3438,ZpUI9ze0YlA6nMSHwx3ZYQ,Derek,1874,2006-12-05,1467,67,84,0,3,568,116,68,19,8,868,871,1023,1023,673,548
3656,Xxvz5g67eaCr3emnkY5M6w,Jen,1850,2007-12-25,260,44,6,0,3,98,15,12,7,4,56,84,86,86,43,7
3909,Imn8qgTWFKkaJDcNilhPOQ,Stephan,1216,2013-04-18,2943,321,1330,0,3,134,120,12,41,2,389,919,360,360,274,205
4494,cuVrNmt7_WtBn1uz5L_p0g,Mike,1725,2011-06-03,121,98,180,0,3,20,18,2,1,0,30,65,44,44,41,3
5560,GON8Ynfiro1jxnFoWD5jwQ,Chris,1023,2007-08-17,1347,429,1779,0,3,101,19,4,2,1,75,418,288,288,118,55
5640,NV0u95G-WcjZRAfCX-jcWw,David,1047,2008-06-22,1114,242,258,0,3,222,42,16,32,14,168,501,254,254,137,50
5838,NvUeb5G_mSSxgKhEE_Hueg,Jocy,1097,2008-03-10,12682,10678,12238,0,4,822,61,37,41,25,284,1102,1230,1230,321,304
5851,8xev0Avovx_jp7LEw8JqvA,Joolie,1299,2006-05-15,1050,978,961,0,3,1876,108,102,336,37,413,728,1143,1143,247,90
6093,wCtf5_zG8EpWiBp_Oi7P0g,Sarah,1580,2008-04-05,428,137,85,0,3,757,43,33,78,16,283,414,1078,1078,233,32
6095,zZkUkK9M0v02qHBCCm5zaA,"Mr F G And Ms M",1037,2010-10-18,59,24,2,0,3,34,11,7,9,1,22,81,65,65,15,35
6309,H5d_nFqzwrREE-YduK2ABg,Julie,1201,2007-02-28,5614,485,2107,0,4,151,16,11,4,3,70,307,304,304,100,54
6320,62GNFh5FySkA3MbrQmnqvg,Chad,2012,2004-12-19,2343,780,1109,0,3,275,37,32,11,57,371,631,488,488,219,59
6415,5hfKGSTC6gkamIfl6BZm6A,Matze,2569,2012-10-04,645,149,494,0,3,28,29,5,3,0,111,303,71,71,57,85
6422,37HswRimgBEf7_US-c3CDA,Adrienne,2160,2007-02-21,22059,17908,22747,0,3,5149,392,524,141,130,1202,4265,6371,6371,2162,692
